,交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注,金额,时间,月份
0,2024-09-30 18:24:36,扫二维码付款,水果丨林大店,收款方备注:二维码收款,支出,¥6.30,零钱,已转账,100010710124093000058226822181978033	,10001071012024093000057248155135	,/,6.3,18,2024-24
1,2024-09-30 12:19:53,商户消费,东北林业大学,东林超市总店03,支出,¥6.00,零钱,支付成功,4200002327202409303289975730	,0387178599256103004	,/,6.0,12,2024-19
2,2024-09-30 11:58:37,商户消费,东北林业大学,一卡通充值，充值学工号：2024113002,支出,¥100.00,零钱,支付成功,4200002336202409307655215974	,240930115828542240w20181200280	,/,100.0,11,2024-58
3,2024-09-30 08:16:27,转账,杨洪帅,转账备注:微信转账,支出,¥4.00,零钱,对方已收钱,53010001035103202409301241683111	,1000050001202409301020254611196	,/,4.0,08,2024-16
4,2024-09-29 17:22:39,商户消费,东北林业大学,加工车间9#_餐费支出,支出,¥0.80,零钱,支付成功,4200002367202409291392007809	,240929172237621520w20181200280	,/,0.8,17,2024-22
5,2024-09-29 17:22:01,商户消费,东北林业大学,副食一组80#_餐费支出,支出,¥5.00,零钱,支付成功,4200066315202409295720458314	,240929172200093510w20181200280	,/,5.0,17,2024-22
6,2024-09-29 10:55:22,商户消费,东北林业大学,特色小吃96#_餐费支出,支出,¥7.50,零钱,支付成功,4200002337202409290154414150	,240929105521309580w20181200280	,/,7.5,10,2024-55
7,2024-09-29 07:33:53,商户消费,东北林业大学,书香味道17#_餐费支出,支出,¥1.50,零钱,支付成功,4200002367202409294451459230	,240929073351976650w20181200280	,/,1.5,07,2024-33
8,2024-09-28 17:53:29,商户消费,东北林业大学,新中式餐饮51#_餐费支出,支出,¥10.49,零钱,支付成功,4200067722202409283959165389	,240928175327435470w20181200280	,/,10.49,17,2024-53
9,2024-09-28 12:16:02,扫二维码付款,水果丨林大店,收款方备注:二维码收款,支出,¥2.90,零钱,已转账,100004990124092800058226738325341033	,10000499012024092800740859124192	,/,2.9,12,2024-16
10,2024-09-28 12:02:26,商户消费,东北林业大学,副食一组80#_餐费支出,支出,¥7.00,零钱,支付成功,4200066314202409287366635963	,240928120224412240w20181200280	,/,7.0,12,2024-02
11,2024-09-28 11:50:37,商户消费,拼多多平台商户,先用后付,支出,¥3.90,零钱,支付成功,4200002409202409282404629480	,05z7GgUBHOaB8b2SaPueJzxxxxPbd8Cx	,/,3.9,11,2024-50
12,2024-09-27 17:28:52,扫二维码付款,艰苦奋斗,收款方备注:二维码收款,支出,¥7.00,零钱,已转账,100010710124092700058226901376250033	,10001071012024092700638273907075	,/,7.0,17,2024-28
13,2024-09-27 13:19:46,商户消费,东北林业大学,东林超市总店01,支出,¥4.50,零钱,支付成功,4200067723202409272056460572	,0386642550987351830	,/,4.5,13,2024-19
14,2024-09-26 18:25:47,商户消费,智能货柜,先购后付,支出,¥2.80,零钱,支付成功,4200002452202409260519883563	,WciwKgHuIEru2I7uzS1W1zxxxxxN9qCx	,/,2.8,18,2024-25
15,2024-09-25 17:55:05,商户消费,智能货柜,先购后付,支出,¥2.80,零钱,支付成功,4200002433202409256109630154	,ZrZEI3mfOAd6rvtDHeDsU7xxxxxJTRJx	,/,2.8,17,2024-55
16,2024-09-25 16:56:29,商户消费,美团平台商户,【后街铁板炒饭（林大店）】广式腊…,支出,¥9.40,零钱,支付成功,4200066314202409252471868029	,20240925165624U46061191701867003	,/,9.4,16,2024-56
17,2024-09-25 13:32:28,商户消费,手机充值,50元手机话费-15556575097,支出,¥50.00,零钱,支付成功,4200002406202409252663681271	,8338060971202409252302314736	,/,50.0,13,2024-32
